Wm,W0m,dm,tm,cols,La,Wa,vswr,bandwidth,s,pr,p0
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715966,77.0698000000003,-9.7100776,0.14497833,0.45160291
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715967,77.0698000000003,-9.7100769,0.14497831,0.45160291
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187646,,-1.5569196,0.026697987000000003,0.14729203
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652475,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305574,0.21863372,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187656,,-1.5569182,0.026697991,0.14729196
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652475,0.21826273,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305573000000003,0.21863373,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187657000000002,,-1.5569181,0.026697987000000003,0.14729196
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652475,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305573000000003,0.21863372,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187636999999999,,-1.5569208,0.026697982000000002,0.14729213
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522901000000002,119.69990000000008,-19.014482,0.21289877,0.49621829
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652476,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305573000000003,0.21863373,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187646,,-1.5569196,0.026697982000000002,0.14729206
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652476,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661126,119.0699999999998,-22.305571,0.21863371,0.49849373
4285.7,162.86,488.57,428.57,3.0,-10714.0,2142.9,15.686985,,-1.1089045,0.013716456,0.11050869
4285.7,162.86,488.57,428.57,3.0,-10714.0,5000.0,1.3458288,117.1799,-16.628703,0.21588677,0.49247516
4285.7,162.86,488.57,428.57,3.0,-10714.0,5624.2,1.2718718,117.3899000000005,-18.440394,0.21684936,0.49545223
4285.7,162.86,488.57,428.57,5.0,-21429.0,2142.9,15.663806,,-1.1105497,0.015012599,0.11057292
